N,lnPi(N),U(N)
257,-153.1474093244298,-4938.45288559558
258,-156.95762392740505,-4960.733874088299
259,-160.78168899085696,-4985.119986654376
260,-164.71930898226074,-5006.586315771703
261,-168.73661022175853,-5028.763805592571
262,-172.8240262788262,-5051.389229875989
263,-176.97186853799403,-5075.646850377598
264,-181.20857434408722,-5099.001817049648
265,-185.4976366712635,-5119.898649700503
266,-189.87852539419575,-5139.431017838979
267,-194.27641334784747,-5163.545983284595
268,-198.73872996157692,-5185.45606356371
269,-203.2847656445439,-5211.292265268101
270,-207.89875593771768,-5235.377412774287
271,-212.59437224927123,-5258.135913520149
272,-217.37719692813752,-5281.225764573297
273,-222.25380441610187,-5300.163432069421
274,-227.21554906598087,-5321.2360428222455
275,-232.2250897019692,-5343.555917009413
276,-237.37658436712644,-5364.115422597228
277,-242.50988443914673,-5385.226007026322
278,-247.68972289433725,-5410.242662302706
279,-252.91545708443576,-5435.756361695392
280,-258.25235061310633,-5458.685226246467
281,-263.689071831354,-5479.40430710528
282,-269.2246633610663,-5501.279840244759
283,-274.8812060170759,-5524.498341504208
284,-280.6192065497045,-5541.478332867817
285,-286.47534377805925,-5564.630204787631
286,-292.2768256096132,-5586.355846146449
287,-298.1842922737845,-5612.395304278958
288,-304.204248987519,-5635.475703057738
289,-310.3191889344784,-5659.746323694839
290,-316.56649706692866,-5677.893078552588
291,-322.77078533991664,-5693.580758311764
292,-328.98859843315637,-5718.084207830681
293,-335.2260313124262,-5740.322268835727
294,-341.64865547115437,-5756.903728568905
295,-348.2592228273751,-5779.253851416099
296,-354.81573756189914,-5804.705519428666
297,-361.5589486176134,-5818.143777902849
298,-368.3907963214343,-5833.516582124881
299,-375.2380074523815,-5857.815306594719
