N,lnPi(N),U(N)
188,-121.27096722395888,-8187.677264262816
189,-120.67289374700032,-8237.268799153877
190,-120.02031517395038,-8284.23865892377
191,-119.38075729353618,-8332.235805817143
192,-118.72158903802261,-8379.682461781102
193,-118.00951922066133,-8426.133994065014
194,-117.29392125052061,-8473.580787088034
195,-116.59894770724202,-8522.926865666179
196,-115.84394132119762,-8572.456722776611
197,-115.08920096630933,-8620.769845737303
198,-114.31200403523601,-8670.53668306336
199,-113.49968050695959,-8716.508609545877
200,-112.66740265718396,-8766.12527998993
201,-111.85654687624357,-8816.66099851023
202,-111.01433284790238,-8865.076150448289
203,-110.16470618712371,-8913.320234583714
204,-109.30135357295386,-8964.257468945343
205,-108.43200192689623,-9010.93033783267
206,-107.54481654459686,-9058.1017117697
207,-106.6611416100845,-9105.492136174606
208,-105.75655519562554,-9154.2174503133
209,-104.80391951551371,-9203.466439889964
210,-103.81631046831303,-9253.534102533135
211,-102.8208200009867,-9301.735133332915
212,-101.81442628142702,-9348.277656517843
213,-100.80583547089783,-9396.142993111376
214,-99.75270069836517,-9443.822808444058
215,-98.68766777058076,-9494.297777673428
216,-97.56839182354697,-9545.552487974466
217,-96.43017563267912,-9599.309028087508
218,-95.29106138438371,-9650.427550721004
219,-94.14554846904241,-9703.045594403073
220,-92.99593157917764,-9756.583407761085
221,-91.83671014359686,-9807.758148714876
222,-90.63348974769234,-9862.377000862913
223,-89.42731455786033,-9914.296254603805
224,-88.2617129837195,-9968.07499409835
225,-87.08935106678072,-10022.252542970446
226,-85.92908956100426,-10075.246791057984
227,-84.71084588629887,-10133.68098954348
228,-83.54391694996019,-10189.093161084942
229,-82.39525068989266,-10245.61111641239
230,-81.2553391666556,-10301.852405827787
231,-80.12519899335071,-10357.497419285386
232,-79.02189555419031,-10413.175665345652
233,-77.92505912383346,-10471.939503458369
234,-76.9048142296154,-10524.909794167395
235,-75.87707847239011,-10580.667181104813
236,-74.86652072116773,-10637.34677357295
237,-73.91305179096756,-10693.945702324305
238,-72.93987938263767,-10750.396079806716
239,-72.02982558816937,-10807.653471417338
240,-71.16621765607287,-10864.408473753332
241,-70.30763621043302,-10920.174938037597
242,-69.50730835779025,-10975.944266715418
243,-68.77926846456596,-11027.945235484194
244,-68.05569601592146,-11082.852180478118
245,-67.39841306630301,-11133.729987435225
246,-66.7506371396779,-11189.684313955791
247,-66.15776061235222,-11244.635515148202
248,-65.62348884446189,-11299.946951043772
249,-65.14073657039576,-11355.754582805132
250,-64.72790682257668,-11406.986094389407
251,-64.27549146369563,-11469.483033867537
252,-63.897152236374424,-11518.83535499488
253,-63.58640474817743,-11570.47826166463
254,-63.35401359535252,-11622.235133905882
255,-63.15705196051767,-11677.648811116613
256,-62.99532248418359,-11731.971347995654
257,-62.94595543492111,-11784.040977847222
258,-62.89632921417074,-11837.88246995754
259,-62.91650444206416,-11891.604555589236
260,-62.97842042493004,-11945.895659738717
261,-63.072535589454475,-11995.624283829682
262,-63.27812725554339,-12033.288078060476
263,-63.52301948461151,-12085.132915118073
264,-63.82406318260906,-12139.236308094612
265,-64.2080342605071,-12192.827329921243
266,-64.62804261720875,-12250.031497668317
267,-65.16912019072126,-12300.45810937163
268,-65.697347965143,-12353.56134997315
269,-66.27331204352167,-12405.235219675502
270,-66.91730297664523,-12456.152719340276
271,-67.6807563583108,-12504.900997038509
272,-68.38686205703229,-12562.995473662098
273,-69.17576589600083,-12611.367510783886
274,-70.038010569105,-12659.5033479103
275,-71.02686642241959,-12706.175762945908
276,-72.02009280886043,-12757.269536943872
277,-73.1004669295819,-12815.92204107989
278,-74.27766367263348,-12866.455627905423
279,-75.48443110262848,-12913.329333822809
280,-76.83035478694012,-12963.576488856235
281,-78.27559364397453,-13011.554917825437
282,-79.7962969516349,-13071.440954901564
283,-81.2902725078507,-13115.386559692646
284,-82.87086276028866,-13162.589560948898
285,-84.61218026247427,-13211.222818667704
286,-86.29985475328222,-13262.570359898533
287,-88.03260640457064,-13316.919960440147
288,-90.0388289203175,-13368.172707304137
289,-92.05565851673228,-13418.460949916
290,-94.13080773693018,-13469.260721887047
291,-96.2693195504459,-13518.24960937764
292,-98.52871403524625,-13560.822935896967
293,-100.78693525491028,-13612.462460673867
294,-103.29105140592021,-13661.1433320368
295,-105.68880871057345,-13707.53710568351
296,-108.29727362596046,-13757.491342818086
297,-110.9991619531418,-13801.122748466863
298,-113.70264931200522,-13856.879646491872
299,-116.5022796277181,-13907.901535901256
300,-119.38074624165965,-13963.004216353584
301,-122.31995019767801,-14011.665938201446
302,-125.44502546468762,-14055.713230214556
303,-128.6394499024302,-14104.437270158198
304,-131.93543618456874,-14153.292073999197
305,-135.34483181568186,-14199.446858123196
306,-138.87895840961593,-14245.16060066663
307,-142.60730217250804,-14294.638831731789
308,-146.03731507502846,-14342.8101726657
309,-149.93311005621322,-14396.638624215018
310,-153.78992254615798,-14442.74720585576
311,-157.85147417052093,-14489.358383450024
312,-161.89304027409878,-14546.335995432077
313,-166.15929669137424,-14596.736996061369
314,-170.5101963393523,-14636.487718816918
315,-175.16391469310338,-14692.5971294984
