p (bar),y_CO2,rho (mol/l),rho_unc (mol/l),lnZ_N2,lnZ_N2_unc,lnZ_CO2,lnZ_CO2_unc
0.08,0.5,0.003207808637311543,2.3812479641031755e-13,-13.849566949624148,0.0019068708086115728,-13.85100081616669,0.0020889660629305733
0.09,0.5,0.003608860983612107,2.935138773271645e-16,-13.731784530112222,0.0019047418498232837,-13.733259687623583,0.0020859660032215366
0.1,0.5,0.004009930159082748,1.178171975812392e-13,-13.626424609550533,0.0019027096353088782,-13.627941068938528,0.0020830675391220357
0.2,0.5,0.008021539969571827,3.644344133563079e-14,-12.933282243572695,0.0018873100528727378,-12.935212306332373,0.002059253950853937
0.3,0.5,0.012034795963550424,1.0601291079579576e-13,-12.527819949696493,0.0018796515097407674,-12.530164630364673,0.0020435950382780067
0.4,0.5,0.016049667197790482,5.250535856344594e-16,-12.240138782014393,0.0018781401695864722,-12.242899027123753,0.002034473019539131
0.5,0.5,0.020066125071279285,5.881343112530708e-16,-12.016994313031317,0.0018813718446566113,-12.020171003046253,0.0020304854594859465
0.6,0.5,0.02408414318116422,6.624208283139892e-15,-11.834670099467823,0.0018881391942005474,-11.838264051219232,0.002030439696310971
0.7,0.5,0.028103697206332316,7.35499468977537e-16,-11.680515103574997,0.0018974260404990822,-11.684527073079263,0.0020333385917231522
0.8,0.5,0.03212476481013213,2.6917131793945934e-14,-11.546977811994623,0.0019083931914029267,-11.551408497558038,0.002038361107045613
0.9,0.5,0.03614732555575297,9.993469888185728e-16,-11.429187367618269,0.0019203595911162917,-11.434037413142168,0.0020448405886054066
1.0,0.5,0.040171360829357274,1.0336822440566111e-14,-11.323818003431345,0.0019327817017440441,-11.329088001845555,0.002052242860818647
2.0,0.5,0.08048987634163246,5.769732530082449e-16,-10.630516458130241,0.0020252437348190606,-10.640009842303082,0.0021189823889373486
3.0,0.5,0.12094606714243825,8.079788902117289e-14,-10.224809891066384,0.0020284604019597343,-10.238553541221524,0.002128172704838045
4.0,0.5,0.1615397244593671,9.4116523612046e-14,-9.93683071555096,0.001976719201920404,-9.954843171548148,0.0020933197755836222
5.0,0.5,0.2022734327200557,1.4343327620762004e-14,-9.713352508791719,0.0019043701946543175,-9.735652389511134,0.0020348000435186373
6.0,0.5,0.24314869159442248,7.868019898702529e-14,-9.530669247427795,0.0018305247114468485,-9.557275538892496,0.001965953095234285
7.0,0.5,0.28416460769427254,4.7613404595952807e-14,-9.376136024663795,0.001764420931889573,-9.407066063181787,0.0018954111210619622
8.0,0.5,0.3253183959207814,7.343670595777048e-15,-9.24220480985784,0.0017093622344637183,-9.277472987223508,0.001827897265709096
9.0,0.5,0.3666068292954503,9.515686661236866e-15,-9.124006497471623,0.0016647722957073901,-9.163624380639147,0.0017644922568230352
10.0,0.5,0.408027766402711,2.4641554286792368e-14,-9.018216025916642,0.0016275672686592683,-9.06219342976512,0.00170349348665201
0.01,0.9,0.0004009242157740491,6.782183485446241e-16,-17.53843114924791,0.0019247707765732648,-15.342366489744228,0.0021129656840142607
0.02,0.9,0.0008018811507289152,2.067639266567978e-15,-16.84527438158341,0.0019220154498990863,-14.649265724500776,0.0021091981941541702
0.03,0.9,0.001202870786719993,2.829888436222942e-15,-16.439799655372152,0.0019193422801400406,-14.24384702486574,0.002105557412423214
0.04,0.9,0.0016038931055771134,7.925695089470034e-16,-16.15210793407808,0.0019167499714533261,-13.956211354012366,0.0021020410202480873
0.05,0.9,0.0020049480891073867,2.5403055560120234e-16,-15.928954703438272,0.001914237233932559,-13.733114197391156,0.0020986467166197588
0.06,0.9,0.002406035719097815,3.3623096788034898e-15,-15.746623437087969,0.0019118027841309303,-13.550839028354877,0.002095372218860575
0.07,0.9,0.002807155977317979,4.396445768725204e-15,-15.592463017722896,0.0019094453453270136,-13.396734729320801,0.002092215263039237
0.08,0.9,0.00320830884552309,6.119725496480874e-16,-15.458921855825013,0.0019071636479111216,-13.263249710496414,0.0020891736046509913
0.09,0.9,0.003609494305456559,2.3826426531618802e-15,-15.341129021402422,0.0019049564295407194,-13.145513041619264,0.002086245018873053
0.1,0.9,0.004010712338852666,1.350777691554855e-15,-15.235758677725073,0.0019028224354257824,-13.040198885692623,0.0020834273010958563
0.2,0.9,0.00802468019370068,2.5033072741502337e-15,-14.542511658542114,0.0018852397657878257,-12.34751490930872,0.00206087816626097
0.3,0.9,0.012041885337566002,2.937574481623812e-15,-14.136944027952357,0.0018736653616701331,-11.94251227559726,0.002047155463537572
0.4,0.9,0.016062309764033552,4.697883142764584e-15,-13.849156942647806,0.0018670048392051201,-11.65529193111278,0.002040437893775422
0.5,0.9,0.020085935926235345,2.5559980229316947e-15,-13.625906058346786,0.0018642784106591163,-11.43260935040324,0.002039152876675259
0.6,0.9,0.024112746950925273,4.996734944092864e-16,-13.443474998608066,0.0018646256702225374,-11.250748001122915,0.0020419711039599458
0.7,0.9,0.028142726825133482,1.1821353353213923e-14,-13.289212778769283,0.0018673039466317535,-11.09705676469521,0.0020477898080901403
0.8,0.9,0.03217586055431187,4.188027038035559e-15,-13.155567927083414,0.0018716820172162553,-10.963984054556517,0.00205570942588952
0.9,0.9,0.036212134291984076,2.0500826691678356e-15,-13.037669618546275,0.0018772308728921263,-10.846658947434955,0.002065007455363833
1.0,0.9,0.04025153544172592,3.707081213373165e-15,-12.932192110435667,0.0018835129396556247,-10.741755616648762,0.0020751122059740317
2.0,0.9,0.08081576305370838,3.626220666221678e-15,-12.237795849099566,0.0019350643312327329,-10.053143278596535,0.002161125947796489
3.0,0.9,0.12168866929531266,1.9986939776371457e-15,-11.830970950223469,0.0019200085537897202,-9.652162079014385,0.002181831096510606
4.0,0.9,0.16287584711345804,3.783466636768111e-15,-11.541849874848038,0.001850845135845052,-9.368936209976924,0.002158195607177107
5.0,0.9,0.2043859395874627,1.3895355991064476e-14,-11.317208098781325,0.0017568289682964682,-9.150238375194347,0.0021113083300965665
6.0,0.9,0.2462258787694817,4.0798169976539165e-15,-11.133341149083074,0.001661242807754556,-8.972362032752127,0.002052639819694707
7.0,0.9,0.28839940428369926,4.895780397184699e-15,-10.977604301833576,0.001577554052013405,-8.822660396409889,0.0019895993890809544
8.0,0.9,0.33090811954156185,5.996081932911436e-15,-10.842448838711405,0.0015100657593669754,-8.6935827623749,0.0019270302042729052
9.0,0.9,0.37375372737783447,7.113404000365175e-15,-10.72300485152757,0.0014568978194995897,-8.580257618367101,0.0018669281515064082
10.0,0.9,0.41694010325063896,4.31767246817858e-15,-10.615946779198454,0.0014131556146676546,-8.479358472666325,0.0018085884073201206
