N,lnPi(N),U(N)
134,-683.6492143735718,-1876.9500747626519
135,-679.4955084937428,-1890.2562978817616
136,-675.3428405834476,-1903.8587773061734
137,-671.2150862867818,-1917.30664289614
138,-667.0980103319647,-1930.8115507927027
139,-662.9975052871948,-1944.304976477679
140,-658.9122235031671,-1957.6630916020333
141,-654.8413730591686,-1971.1299563563116
142,-650.8014004771968,-1984.5892677231498
143,-646.7659539112435,-1998.1380546255375
144,-642.7510131998198,-2011.6483332077678
145,-638.7506437543598,-2025.182283330411
146,-634.776522444821,-2038.768975892763
147,-630.8080024071272,-2052.477353825457
148,-626.8605977348186,-2065.994916204225
149,-622.9358971261456,-2079.4219803873384
150,-619.0213176703601,-2092.9078801643523
151,-615.1240345221008,-2106.277074820811
152,-611.239183664705,-2119.805762390309
153,-607.3761195725923,-2133.3765813505174
154,-603.5282372160641,-2146.920908047634
155,-599.6895511252113,-2160.5089020566293
156,-595.8689108292502,-2174.0823217296474
157,-592.0688426687929,-2187.6286172616915
158,-588.2834593813262,-2201.295280034215
159,-584.5049303941371,-2214.7075407557872
160,-580.7482651577874,-2228.1805906122295
161,-577.0077883864494,-2241.819765603448
162,-573.2807103411182,-2255.247227972754
163,-569.5699450154398,-2268.9325881764807
164,-565.868570895937,-2282.8830898792257
165,-562.1910572726485,-2296.377187660695
166,-558.5167667643963,-2310.0241414856396
167,-554.8607056408508,-2323.7816932720243
168,-551.2199519955683,-2337.2554925513577
169,-547.6026902221705,-2351.3445303655753
170,-543.9922582504677,-2364.867762878682
171,-540.396715785324,-2378.5011237334857
172,-536.8102934163024,-2392.228830023965
173,-533.247140880697,-2405.8310430242254
174,-529.6920817032365,-2419.6685862691534
175,-526.1664446575049,-2433.131809451989
176,-522.6478036770382,-2446.664999201713
177,-519.1566341446352,-2460.2400429709664
178,-515.6612830384412,-2473.9950324404745
179,-512.1908670059045,-2487.652457323376
180,-508.7273958237105,-2501.3835882404633
181,-505.2825947852392,-2514.8680782804645
182,-501.85205064255103,-2528.764884427718
183,-498.4390992803999,-2542.6345484225594
184,-495.0287952345461,-2556.6514183234967
185,-491.6399362898169,-2570.0054191280897
186,-488.26667941460346,-2583.402251241308
187,-484.9140398450496,-2597.2092197551115
188,-481.5756196186111,-2610.9039353290273
189,-478.2415618879136,-2624.8560077749144
190,-474.9350969104163,-2638.597675110454
191,-471.633668424852,-2652.59303512731
192,-468.3462001808176,-2666.312250757823
193,-465.0766314655142,-2680.1604082116005
194,-461.8185737170397,-2693.8238771977003
195,-458.5749866427893,-2707.9262968144303
196,-455.3472018566241,-2721.6062931996753
197,-452.1218928811527,-2735.803709633317
198,-448.9113078821424,-2749.909600475229
199,-445.7172972821211,-2764.0947123167875
200,-442.5441035781239,-2777.9823108756323
201,-439.38551383199206,-2791.9792749103904
202,-436.2288660831357,-2806.1094333433275
203,-433.0897890432716,-2820.047478920502
204,-429.96194153325973,-2833.937107946018
205,-426.8555791719359,-2847.9547634950954
206,-423.7606237322502,-2862.0028696592244
207,-420.6750562935033,-2875.9598389571274
208,-417.60204061101354,-2890.061818670192
209,-414.5502162312084,-2904.363349454656
210,-411.5088375191003,-2918.435317998033
211,-408.48159931407986,-2932.3340685208086
212,-405.4679582483395,-2946.4111325942163
213,-402.46036234941107,-2960.4900347160633
214,-399.4745351659701,-2974.7532318321832
