N,lnPi(N),U(N)
273,-31.639878608133575,-3497.551334215865
274,-33.63617203897842,-3509.57960247758
275,-35.680231347659394,-3519.503575023621
276,-37.79243340526886,-3530.724806760866
277,-39.9455963177736,-3541.383619386629
278,-42.16329532104452,-3553.9171713107376
279,-44.475802524836915,-3565.144374221833
280,-46.8198157234882,-3576.7127936261104
281,-49.234649285463426,-3588.1549294899637
282,-51.695642417421816,-3600.1318986215424
283,-54.2526682802254,-3609.4921608279574
284,-56.889838519840616,-3620.7387686994
285,-59.60344186400845,-3630.706564042322
286,-62.344151595066585,-3640.902389993113
287,-65.18403644423721,-3650.587848242765
288,-68.0970961360532,-3659.8974310941403
289,-71.09579927242042,-3671.718653747907
290,-74.2292724874403,-3681.9967591924906
291,-77.37789806221029,-3690.1683822719538
292,-80.63540923052868,-3699.3745786852332
293,-83.92021851819821,-3711.0298653566006
294,-87.32240317827483,-3719.865628398183
295,-90.79915929336492,-3728.6940082595474
296,-94.347465012028,-3737.9211142283043
297,-98.01926678566177,-3748.568007596322
298,-101.69582218175718,-3759.331344381863
299,-105.45985970817604,-3767.987889249832
300,-109.42466367432063,-3777.7635768749697
301,-113.38409885678583,-3787.5504574755605
302,-117.43524176185643,-3797.2484960329652
303,-121.59924700215718,-3805.6362259022508
304,-125.79016075682249,-3814.4750268490534
305,-130.04335210370914,-3823.5924933804286
306,-134.47659786712438,-3830.805345168808
307,-138.992682255747,-3838.266181792656
308,-143.6223969055893,-3848.4239324848973
309,-148.36492827422308,-3856.5127961842536
310,-153.13720269018313,-3865.4373781358777
311,-158.05929354176112,-3871.8726318577765
312,-163.0355838412878,-3877.4618467570945
313,-168.2785899613798,-3885.8633029585635
314,-173.5894345601796,-3892.4209672845054
