N,lnPi(N),U(N)
223,-187.6458831534701,-1966.1843731937915
224,-193.7498580845982,-1969.0298570952436
225,-199.9811523990248,-1974.5019654905773
226,-206.27528535218457,-1976.227903832856
227,-212.931826629892,-1982.457938941472
228,-219.79063434667998,-1984.8203429550267
229,-226.6494081702591,-1985.5002044487264
230,-233.6674298232484,-1990.8266766574088
231,-240.78810108021793,-1999.3200645406614
232,-248.06407074027308,-1997.9882887927815
233,-255.3596659539724,-2004.9669250032457
234,-262.75380862479415,-2007.7628131409
235,-270.2603849722478,-2016.4335371352063
236,-278.0196818027825,-2015.1608122269827
237,-285.88569446965886,-2014.238475017024
238,-293.9430202557418,-2015.5170773476057
239,-302.251554155869,-2017.4534453398082
240,-310.734701865245,-2020.1194178034275
241,-319.03348182811277,-2025.0733138475625
242,-327.8020091203229,-2025.4367763272458
243,-336.8487906410174,-2026.4673702601212
244,-346.12137697227485,-2023.9292512152606
