N,lnPi(N),U(N)
231,-67.66781462299342,-5034.623197428649
232,-66.24331111387663,-5058.370898603636
233,-64.83452460597424,-5081.656223847938
234,-63.439534483307035,-5103.591910517716
235,-62.06056353107713,-5125.201019413304
236,-60.69529242596932,-5147.412142869027
237,-59.34274987909769,-5169.367690318439
238,-58.004760718987406,-5191.2489283417235
239,-56.68951862664287,-5213.984301920747
240,-55.38325036347826,-5236.8972227195045
241,-54.09122208719803,-5259.043674208515
242,-52.81670291280134,-5281.72497897048
243,-51.55529035242851,-5303.746609809634
244,-50.308337194746606,-5325.89855779917
245,-49.07749899551059,-5348.441423955315
246,-47.8615650980224,-5370.86719997396
247,-46.656105707696135,-5393.467919908115
248,-45.46323540851879,-5416.136587568384
249,-44.28551686063859,-5438.334195683477
250,-43.12241581021156,-5460.484225277731
251,-41.97441087167997,-5482.544788121886
252,-40.849451182968075,-5504.701396521297
253,-39.73370761507508,-5526.917400962906
254,-38.636478989895956,-5548.013957581075
255,-37.55608386274603,-5569.828573207895
256,-36.484786820695696,-5591.679243013961
257,-35.43125287797361,-5613.7642375910655
258,-34.392505020825276,-5635.392712689703
259,-33.3704385638657,-5657.915437820193
260,-32.354476506612265,-5680.312038608361
261,-31.365105711539037,-5702.3038688306115
262,-30.38604826061053,-5726.308266547858
263,-29.425058777902997,-5750.2367595752585
264,-28.475382660805487,-5772.516569535423
265,-27.54046741820273,-5794.4637295142165
266,-26.626942021945048,-5816.733415591356
267,-25.72620773011372,-5838.1339307616
268,-24.843770497542756,-5860.5349802673445
269,-23.973342709451096,-5884.145963250718
270,-23.121148821501585,-5907.605368487129
271,-22.28376151641792,-5929.812909255503
272,-21.46173728697304,-5952.541365209327
273,-20.657449717867372,-5974.811420632992
274,-19.871045738528416,-5997.255606600258
275,-19.09849030218877,-6019.954490941309
276,-18.341087153636614,-6041.833039387944
277,-17.60487500211,-6063.847762653779
278,-16.88533709423482,-6085.9923772928305
279,-16.17851001476604,-6108.071483681328
280,-15.495157637236254,-6129.905649507884
281,-14.825466985773438,-6152.366963609122
282,-14.174475680931302,-6174.759951388056
283,-13.534604636273663,-6196.364273655461
284,-12.913862817078872,-6220.043664587894
285,-12.308928834595214,-6242.970935484627
286,-11.720637652951474,-6264.563349156699
287,-11.147375635338769,-6286.81679655076
288,-10.600332585222624,-6309.401488917938
289,-10.06131341459534,-6331.294344873808
290,-9.54715479971285,-6353.937278262514
291,-9.056947647690642,-6375.913556212967
292,-8.579822719236724,-6396.446200311242
293,-8.121761677326369,-6417.768494422082
294,-7.685360684594208,-6440.100645553146
295,-7.264364357471756,-6462.801791634061
296,-6.858008452698506,-6485.705020739173
297,-6.477207031981358,-6507.786872105789
298,-6.111599303360983,-6529.646757207811
299,-5.764560092987701,-6553.685799785191
300,-5.433114935265145,-6577.346493412158
301,-5.113341970464695,-6599.347519596398
302,-4.826478442982626,-6621.8746138287825
303,-4.556377122325763,-6644.33462371357
304,-4.3091947914253765,-6666.4625572463265
305,-4.074530009980641,-6688.839186932077
306,-3.8657111638169472,-6711.3646949814865
307,-3.6738624151235872,-6733.905058096454
308,-3.498522646148651,-6756.163645866851
309,-3.3527222059652577,-6777.82924819336
310,-3.2218919788841522,-6799.704321460449
311,-3.10937441883889,-6821.711348185432
312,-3.0231892915465797,-6843.733388950932
313,-2.954891518122715,-6865.885098085098
314,-2.9117624700953475,-6891.814309366338
315,-2.8726470577861183,-6917.68721006281
316,-2.861116360868984,-6940.003049813444
317,-2.8695459268314853,-6962.575512937852
318,-2.9003396350180783,-6984.048250758497
319,-2.9381991294224936,-7006.344621906232
320,-3.012636973230521,-7028.3645036042435
321,-3.1074455991418763,-7050.498466443678
322,-3.2238366241244667,-7070.770089631667
323,-3.364928295497045,-7091.006253847794
324,-3.5306544909192117,-7113.096663784701
325,-3.715319844572925,-7135.926055525255
326,-3.9198473812785797,-7158.5390808531665
327,-4.138764309673299,-7180.458839447063
328,-4.38953766847451,-7203.156204456929
329,-4.668696627591409,-7226.155661006225
330,-4.984590630136701,-7249.593835516425
331,-5.317294577607164,-7270.785797922523
332,-5.67295748122158,-7292.664161903609
333,-6.06311789890092,-7314.829688160564
334,-6.465218734949396,-7337.009495063045
335,-6.892397764382487,-7358.880579947028
336,-7.344590833982444,-7380.827463633323
337,-7.818848068355784,-7403.659763527336
338,-8.317993409974385,-7426.310347812658
339,-8.848068134423876,-7449.039967303048
340,-9.393318830314321,-7471.427803342172
341,-9.964223167033289,-7493.44402162917
342,-10.565529985500895,-7514.525966919609
343,-11.195541636560712,-7536.476251164975
344,-11.836335963514422,-7559.300142519933
345,-12.49649435162005,-7582.8773229420185
346,-13.175157287076424,-7604.869404057565
347,-13.887174793185729,-7625.779177574557
348,-14.629369252353037,-7647.690926838841
349,-15.400456557840677,-7669.496818010986
350,-16.196177923459892,-7691.040040913795
351,-17.0154741931593,-7713.3705995612545
352,-17.867087589471772,-7734.868268506485
353,-18.75481628524856,-7755.568135888898
354,-19.659048373880843,-7777.633232836553
355,-20.586460282854297,-7801.199035831087
356,-21.54874831410664,-7822.716046784713
357,-22.534420592525613,-7844.836544699327
358,-23.535752042939954,-7866.321231296111
359,-24.571399526541406,-7887.82150942547
360,-25.644564627415527,-7908.849236700567
361,-26.73274969208328,-7930.54535006854
362,-27.833065322712038,-7952.345243129937
363,-28.97766930963528,-7975.139544608945
364,-30.156315899790435,-7997.143244846084
365,-31.353681842928474,-8018.586963799084
366,-32.59066045176335,-8040.100624596584
367,-33.83689785105671,-8064.137476419099
368,-35.112834556918735,-8087.458753108163
369,-36.41801857447101,-8108.697897836333
370,-37.7539227294918,-8129.944625070493
371,-39.11733810312203,-8151.695674120856
372,-40.51032671418111,-8173.783668978023
373,-41.931938417690596,-8195.813955391233
374,-43.38650927214881,-8216.436435350508
375,-44.87465986027119,-8237.13621622487
376,-46.382747558806024,-8258.623326466302
377,-47.91752854507045,-8279.182250969636
378,-49.48925955632465,-8301.666299675475
379,-51.08590462583695,-8323.203708559857
380,-52.72082340213942,-8346.034299419203
381,-54.38705378294694,-8367.864148482447
382,-56.072213497889244,-8388.728005597775
383,-57.790694435395245,-8408.11718347692
384,-59.548159216701016,-8430.34619436774
385,-61.31992158133401,-8451.876634799468
386,-63.13199802297536,-8473.767721938144
387,-64.98338132326931,-8494.343151623209
388,-66.84865342106126,-8515.783446262823
389,-68.73460192616936,-8539.188925802126
390,-70.65778291585842,-8560.507351046486
391,-72.5926958065255,-8579.678363432002
392,-74.56179014286862,-8601.213420304877
393,-76.54557167901133,-8624.181541925762
394,-78.56153365298245,-8645.878468347422
395,-80.59549028604111,-8666.567178529105
396,-82.65463182775385,-8689.863384776225
397,-84.75597703045388,-8710.811746116146
398,-86.91111859359886,-8732.887802099052
399,-89.09342722117218,-8755.088193127827
400,-91.29330202322056,-8777.91708289925
401,-93.52668989867003,-8798.088263981626
402,-95.78468387456574,-8818.917768153886
403,-98.06421012689371,-8838.42215954262
404,-100.35760284327237,-8861.444143407512
405,-102.68020473150726,-8885.712468660553
406,-105.0283112542371,-8906.935977571935
407,-107.41073431803714,-8928.531907358032
408,-109.81279014788798,-8950.093739119358
409,-112.25356336072467,-8971.544759179873
410,-114.70706186500762,-8995.810027271393
411,-117.18993156969303,-9018.876064054144
412,-119.71113004822779,-9041.117876006174
413,-122.28495695368575,-9060.65734374529
414,-124.8745793593897,-9081.182428052765
415,-127.48673858001165,-9100.534547684016
416,-130.1296856476607,-9121.436382435262
417,-132.7966702928555,-9143.412330388848
418,-135.46812976206465,-9162.906672889425
419,-138.18782734971418,-9182.724386492977
420,-140.93829021171072,-9202.641008283652
421,-143.72244332867305,-9225.147200651176
422,-146.51203332600332,-9246.683750008873
423,-149.33826130932536,-9267.616242831165
424,-152.19246980717693,-9289.005378470349
425,-155.08100599291978,-9310.893479251768
426,-157.98965891769703,-9332.646482129523
427,-160.9308357294819,-9355.945006604714
428,-163.89601529139028,-9379.599608954857
429,-166.90722015795822,-9401.00075173931
430,-169.93078909587766,-9423.028987914848
431,-172.98268922817894,-9444.480265287275
432,-176.05242308882904,-9468.123317653663
433,-179.15412291240554,-9489.754784253135
434,-182.274710030951,-9511.895008157357
435,-185.4215473967491,-9536.125888736744
436,-188.6170149126502,-9556.921612169885
437,-191.8598663274532,-9576.536126208899
438,-195.11062009186364,-9599.696860967495
439,-198.36143805392837,-9618.424316808057
440,-201.64552811813982,-9640.716492575419
441,-204.9422388708517,-9661.514184163476
442,-208.2631039326412,-9679.75231619901
443,-211.62705357909758,-9700.321008597151
444,-215.01852629824018,-9720.15308079822
445,-218.47140312016583,-9739.488839146623
446,-221.8738910291623,-9760.055684765743
447,-225.34276658357336,-9781.349598645058
448,-228.84512868286023,-9803.67704987456
449,-232.38158055718586,-9824.338339814043
450,-235.93593032597707,-9845.163665236149
451,-239.5453716140258,-9866.600102463563
452,-243.2203332869884,-9889.530917873315
453,-246.86755580638973,-9907.7286066112
454,-250.5338763800713,-9929.411165933416
455,-254.20020623186903,-9952.063872476981
456,-257.9154416829492,-9972.415764008416
457,-261.67277282496207,-9995.856149230909
458,-265.4722345308088,-10015.765237709624
459,-269.27814515767807,-10036.800551688008
460,-273.1244306412259,-10055.810472257785
461,-277.0051046301792,-10080.649133652332
462,-280.86677889128805,-10099.226527372142
463,-284.7663347475435,-10118.983434040972
464,-288.7299186770899,-10145.085674081813
465,-292.69427049241847,-10170.369398046634
466,-296.71720089101655,-10188.407263466099
467,-300.7755106998577,-10210.705278037523
468,-304.91655501110006,-10233.295837028243
469,-309.05398942775844,-10248.602106972656
470,-313.1485915541449,-10267.82958284329
471,-317.3058051779202,-10291.45238434727
472,-321.49915973879945,-10303.841138583317
473,-325.6813916312867,-10325.345212990127
474,-329.86391466606403,-10351.019286697265
475,-334.1469496427701,-10368.961493578565
476,-338.4042563080018,-10389.544769857137
477,-342.679972371807,-10414.779619461275
478,-347.05339772118066,-10435.623253333499
479,-351.4371751069442,-10454.197722343379
