N,lnPi(N)
362,-79.44709379432618
363,-79.4087841881158
364,-79.37181559518824
365,-79.333777065279
366,-79.29731167393851
367,-79.26185806421238
368,-79.23910828955692
369,-79.22041293296537
370,-79.21004501048043
371,-79.1786939287507
372,-79.15558483018083
373,-79.13688505829037
374,-79.12864519008069
375,-79.13695066923806
376,-79.15251513693012
377,-79.18055793535405
378,-79.21737183862463
379,-79.26352960183294
380,-79.32576706093374
381,-79.3918678190433
382,-79.46110687450368
383,-79.53978204802189
384,-79.62433199805805
385,-79.71152025837883
386,-79.80215437881488
387,-79.93510774015941
388,-80.07931144877894
389,-80.22718780696948
390,-80.37997267581675
391,-80.5263727560003
392,-80.67109352091497
393,-80.82681770929202
394,-80.99414068728075
395,-81.06578179382547
396,-81.12254992255994
397,-81.16301605350382
398,-81.1861593034319
399,-81.20612389186192
400,-81.20635872930748
401,-81.1885915706511
402,-81.16533227862674
403,-81.11183429109468
404,-81.0662981237718
405,-81.03145884757558
406,-80.99798905987203
407,-80.97663985005545
408,-80.96080136419208
409,-80.9529419397087
410,-80.9595024835048
411,-80.99386818915791
412,-81.02631242829655
413,-81.06240733242862
414,-81.11465147286366
415,-81.17100123658268
416,-81.23019875306395
417,-81.29724851440275
418,-81.37130165056595
419,-81.44126263022318
420,-81.51523828702575
421,-81.59737028392723
422,-81.68407344850785
423,-81.77086334976832
424,-81.85788466580036
425,-81.93822608288963
426,-82.02307804665332
427,-82.10162068033053
428,-82.1734671396573
429,-82.23104997426839
430,-82.27775849172735
431,-82.30032619031422
432,-82.30921845688165
433,-82.30303571190278
434,-82.27866515737661
435,-82.24345172112396
436,-82.2047430581977
437,-82.15868867724176
438,-82.11583929591737
439,-82.06952068733192
440,-82.03946203085431
441,-82.00257213043349
442,-81.96628305650958
443,-81.94140998783595
444,-81.92769620929718
445,-81.9241244146671
446,-81.92925024420332
447,-81.94006025140091
448,-81.9583441296213
449,-81.98146472586312
450,-82.02626833582318
451,-82.07423204034842
452,-82.13257574873506
453,-82.19912308017918
454,-82.27284664012384
455,-82.35091765015558
456,-82.43747743659132
457,-82.53439475419862
458,-82.63538386799257
459,-82.73814273634227
460,-82.837579145571
461,-82.93788408234852
462,-83.05046312607696
463,-83.17284058453447
464,-83.29353480690662
465,-83.40898872885127
466,-83.45176477739221
467,-83.48566554984808
468,-83.51202158192328
469,-83.5183205130274
470,-83.52428264038679
471,-83.51825547442135
472,-83.51273360241487
473,-83.50525218794232
474,-83.49292529816705
475,-83.47627304430397
476,-83.46398472600426
477,-83.45447480948825
478,-83.4518146392192
479,-83.45597016935291
480,-83.46174628535829
481,-83.45144203098788
482,-83.45392911551345
483,-83.46560119479838
484,-83.48234244616864
485,-83.50838339919169
486,-83.5433234249166
487,-83.58697367326735
488,-83.63045180890343
489,-83.58070108195338
490,-83.53206782570841
491,-83.48218191367138
492,-83.4327307760639
493,-83.37730777875312
494,-83.32468641014611
495,-83.27549631046286
496,-83.21444242341323
497,-83.28707324244017
498,-83.35843487202968
499,-83.4247507849366
500,-83.48914777397185
501,-83.54171912726206
502,-83.59469642089472
503,-83.62915084083491
504,-83.65651671089167
