N,lnPi(N),U(N)
199,-89.43301002784239,-2312.651643679514
200,-93.92800390355688,-2319.647293336777
201,-98.49141331861972,-2327.3059324653696
202,-103.24925928621519,-2333.8909565918884
203,-108.17481239581986,-2339.99619830905
204,-113.18744541173629,-2345.4982615334197
205,-118.41458259412087,-2349.732297581416
206,-123.80069114754758,-2355.8556966183082
207,-129.3118815114625,-2359.6631340523454
208,-134.8910933418054,-2366.623195338917
209,-140.7572286689781,-2371.164621148402
210,-146.6972867152498,-2373.4951622743297
211,-152.89838004268108,-2377.8722476323715
212,-159.09450561671787,-2381.019628784159
213,-165.58089298673377,-2382.439024974087
214,-172.1447603785287,-2386.5261479830424
215,-178.75302128752804,-2396.7068495142025
216,-185.54555215235706,-2405.247314959572
217,-192.5626478313564,-2401.4389456100594
218,-199.80411873988226,-2408.6217530775875
219,-207.25376938521617,-2408.115546249979
220,-214.89310278085762,-2406.3831019799145
221,-222.78511271608608,-2408.0154213910873
